NET_PRICE,CONTROL,UGDS,PCTPELL,PCTFLOAN,GRAD_DEBT_MDN_SUPP,RPY_3YR_RT_SUPP,SATVRMID,SATMTMID,MD_EARN_WNE_P10,INSTNM
13057.0,1,5098.0,0.6853,0.6552,31000.0,0.2531554273,475.0,460.0,39059.0,Alabama A & M University
16585.0,1,13284.0,0.3253,0.4401,22300.0,0.513963161,637.0,644.0,50907.0,University of Alabama at Birmingham
17250.0,1,7358.0,0.2377,0.3578,20705.0,0.5485090298,640.0,655.0,56901.0,University of Alabama in Huntsville
13593.0,1,3495.0,0.7205,0.7637,31000.0,0.2185867473,488.0,457.0,34018.0,Alabama State University
21534.0,1,30725.0,0.1712,0.3454,22750.0,0.6019442985,610.0,610.0,56118.0,The University of Alabama
13689.0,1,3742.0,0.4821,0.5138,25000.0,0.4418886199,538.0,518.0,43743.0,Auburn University at Montgomery
21098.0,2,1048.0,0.2152,0.6785,25000.0,0.7559912854,580.0,585.0,55236.0,Birmingham-Southern College
20371.0,2,1696.0,0.461,0.6022,23000.0,0.3081623745,550.0,548.0,41523.0,Faulkner University
23330.0,2,838.0,0.3946,0.7043,27000.0,0.5146036161,535.0,490.0,47328.0,Huntingdon College
18336.0,1,6992.0,0.4109,0.6939,22189.0,0.4210392257,535.0,590.0,41504.0,Jacksonville State University
16258.0,1,2310.0,0.5294,0.6499,24944.0,0.3667296786,450.0,480.0,38617.0,University of West Alabama
12029.0,1,314.0,0.3566,0.3641,9250.0,0.5924657534,605.0,595.0,50097.0,Marion Military Institute
17348.0,1,2184.0,0.395,0.5247,24000.0,0.5173333333,545.0,540.0,40439.0,University of Montevallo
30716.0,2,3604.0,0.1149,0.3093,19500.0,0.7767548907,615.0,580.0,54742.0,Samford University
16223.0,1,8631.0,0.3672,0.512,24929.0,0.4695919938,555.0,545.0,45018.0,University of South Alabama
20891.0,2,989.0,0.3648,0.7484,27000.0,0.6072013093,510.0,505.0,51166.0,Spring Hill College
14019.0,1,10916.0,0.4028,0.6436,25000.0,0.3498531898,533.0,510.0,41691.0,Troy University
34926.0,2,2184.0,0.1318,0.1305,27000.0,0.4960173787,525.0,500.0,43878.0,Tuskegee University
9684.0,1,4108.0,0.2178,0.1844,20291.0,0.547265987,620.0,615.0,46150.0,University of Alaska Fairbanks
15601.0,1,36560.0,0.2868,0.2882,19620.0,0.6562777285,620.0,625.0,59805.0,University of Arizona
36270.0,2,3015.0,0.1901,0.381,23666.0,0.6444394213,615.0,630.0,82012.0,Embry-Riddle Aeronautical University-Prescott
31546.0,2,1012.0,0.3924,0.7514,23000.0,0.5551470588,535.0,530.0,44012.0,Arizona Christian University
15868.0,1,5025.0,0.4255,0.4335,22000.0,0.5772706733,555.0,545.0,42973.0,University of Arkansas at Little Rock
10786.0,2,576.0,0.388,0.5895,21500.0,0.6743295019,555.0,568.0,45416.0,Lyon College
14998.0,1,24001.0,0.1795,0.3377,21500.0,0.6712301975,575.0,560.0,54417.0,University of Arkansas
10542.0,1,2444.0,0.6984,0.5812,24202.0,0.3661573288,464.0,449.0,34777.0,University of Arkansas at Pine Bluff
13430.0,1,7478.0,0.367,0.4526,20500.0,0.5756867329,550.0,565.0,39824.0,Arkansas State University
14735.0,1,7763.0,0.3658,0.432,20346.0,0.6233618234,550.0,520.0,43712.0,University of Central Arkansas
23545.0,2,546.0,0.4768,0.553,22250.0,0.5753424658,519.0,501.0,42333.0,Central Baptist College
20429.0,2,3262.0,0.2128,0.4561,26500.0,0.7277023036,595.0,580.0,50273.0,Harding University
16696.0,1,2205.0,0.4638,0.666,19500.0,0.561760841,527.0,538.0,40681.0,Henderson State University
10299.0,2,1103.0,0.2863,0.4275,26688.0,0.7620320856,620.0,595.0,48230.0,Hendrix College
18641.0,2,1381.0,0.2489,0.3912,21250.0,0.7462871287,608.0,603.0,54964.0,John Brown University
14486.0,2,775.0,0.3541,0.4354,20875.0,0.59030837,520.0,520.0,40448.0,University of the Ozarks
15664.0,2,593.0,0.5094,0.6484,21820.0,0.6174242424,495.0,478.0,38840.0,Williams Baptist University
15873.0,1,2795.0,0.4505,0.7328,18750.0,0.4865079365,515.0,520.0,40671.0,Southern Arkansas University Main Campus
24811.0,2,3937.0,0.3312,0.4772,23219.0,0.6398247056,561.0,556.0,61701.0,Azusa Pacific University
27161.0,2,3592.0,0.2736,0.4786,23875.0,0.7403017241,626.0,600.0,53148.0,Biola University
21442.0,2,2588.0,0.3249,0.5342,21669.0,0.7060260586,595.0,595.0,65401.0,California Lutheran University
39047.0,2,7469.0,0.1898,0.4365,20500.0,0.676021461,655.0,655.0,64844.0,Chapman University
24483.0,2,1580.0,0.257,0.6045,24247.0,0.6862955032,580.0,565.0,59831.0,Concordia University-Irvine
44990.0,2,1243.0,0.33,0.5993,27000.0,0.7153196622,579.0,590.0,71134.0,Dominican University of California
11531.0,2,2668.0,0.6093,0.6237,23146.0,0.5337209302,550.0,555.0,55044.0,Fresno Pacific University
21605.0,2,3686.0,0.4706,0.5784,23500.0,0.5224144017,518.0,503.0,62629.0,University of La Verne
23480.0,2,1270.0,0.4411,0.5607,27000.0,0.5204678363,515.0,495.0,60858.0,La Sierra University
34580.0,2,6999.0,0.1431,0.3198,19500.0,0.7843866171,660.0,675.0,71771.0,Loyola Marymount University
